Event string,Formalized reconstruction,Passage (CTS URN),Locus ,Type,Absolute/Relative
ἐπὶ Τάναϊν στάδια ˏβσ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἀπὸ Ἀλεξανδρείας εἰς Ῥόδον στάδια ˏδχο,ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
"εἰς Κνίδον
στάδια ψ",ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
εἰς Κῶ στάδια σ,ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
εἰς Σάμον στάδια ω,ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
εἰς Χίον στάδια ψν,ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
"εἰς
Μιτυλήνην στάδια φκ",ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
εἰς Τένεδον  ↑ν,ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
εἰς Σίγειον ρ,ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
"ἐπὶ τὸ στόμα
Πόντου ˏβφ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
εἰς Κάραμβιν ˏβω,ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
εἰς στόμα Μαιώτιδος ˏβφ,ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
"ἐπὶ Τάναϊν
ποταμὸν ˏβσ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.19,4.19,distance,absolute
