urn:cite:excerpta:K,urn:cts:greekLit:tlg5019.tlg001; urn:cts:greekLit:tlg4098.tlg003; urn:cts:greekLit:tlg4174.tlg002; urn:cts:greekLit:tlg4098.tlg002; urn:cts:greekLit:tlg4099.tlg001; urn:cts:greekLit:tlg4083.tlg006; urn:cts:greekLit:tlg4083.tlg001,urn:cts:greekLit:tlg0090.tlg001 ,,,,
urn:cite:excerpta:K:a.1,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Ἀσία[1]-append@ἰοῦσι[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Ἀσία[1]-1.4@ἀπιοῦσι[1],,,(Dionysius Scholia in Periegesin: selected mss. of the Appendix and Müller's edition),
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Ἀσία[1]-append@ἰοῦσι[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Ἀσία[1]-1.4@ἀπιοῦσι[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Ἀσία[1]-append@ἰοῦσι[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Ἀσία[1]-1.4@ἀπιοῦσι[1],,,,
,urn:cts:greekLit:tlg4098.tlg003:epsilon.564.6@Ἀσία[1]-epsilon.564.6@ἰοῦσιν[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Ἀσία[1]-1.4@ἀπιοῦσι[1],,,Etymologicum Gudianum,
urn:cite:excerpta:K:a.2 ,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Εὐρώπη[1]-append@ὠνομάσθη[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Εὐρώπη[1]-append@ὠνομάσθη[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Εὐρώπη[1]-append@ὠνομάσθη[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg5019.tlg001:10bis@εἴρηται[1]-10bis@πλάτος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg4098.tlg003:epsilon.564.7@Εὐρώπη[1]-epsilon.564.7@ὠνομάσθη[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg4174.tlg002:19@Εὐρώπη[1]-19@εὖρος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,Paraphrases in Periegesin - Ludwich ed. ,
urn:cite:excerpta:K:a.3 ,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Λιβύη[1]-append@ἄγνωστος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Λιβύη[1]-1.4@πάνυ[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Λιβύη[1]-append@ἄγνωστος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Λιβύη[1]-1.4@πάνυ[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Λιβύη[1]-append@ἄγνωστος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Λιβύη[1]-1.4@πάνυ[1],,,,
,urn:cts:greekLit:tlg4098.tlg002:lambda.369.40@Λιβύη[2]-lambda.369.41@ἄγνωστα[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Λιβύη[1]-1.4@πάνυ[1],,,,
urn:cite:excerpta:K:a.4,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Φοίνικες[1]-append@ὀνομασθέντες[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἀπό[3]-1.4@πλέοντες[1],,,,
